,endTime,artistName,trackName,msPlayed
0,07/04/2024 11:03,ayokay,Stay With Me (feat. Jeremy Zucker),141676
1,08/04/2024 08:48,John Frusciante,The Will To Death,7996
2,08/04/2024 09:48,wave to earth,bad,46683
3,09/04/2024 08:15,wave to earth,bad,216556
4,09/04/2024 08:15,beabadoobee,Cologne,6474
5,09/04/2024 09:18,Tony Effe,DOPO LE 4 (feat. Bresh & Tedua),3498
6,09/04/2024 09:22,JANNABI,Summer,243000
7,09/04/2024 09:24,beabadoobee,Cologne,158215
8,09/04/2024 09:27,d4vd,Placebo Effect,164589
9,09/04/2024 09:33,d4vd,Romantic Homicide,123200
10,09/04/2024 13:09,Aziz Hedra,Somebody's Pleasure,5654
11,09/04/2024 13:12,Mick Jagger,Gotta Get A Grip,115054
12,09/04/2024 13:16,Higher Brothers,Made In China,276335
13,09/04/2024 13:19,BLACKPINK,Pink Venom,84768
14,09/04/2024 13:22,Flowsik,ì –ì–´'S (Wet),208741
15,09/04/2024 13:27,Panic! At The Disco,High Hopes,190946
16,09/04/2024 13:32,Kanye West,Stronger,311866
17,09/04/2024 13:36,LISA,MONEY,168227
18,09/04/2024 13:37,LISA,LALISA,101696
19,09/04/2024 13:38,j-hope,Arson,37732
20,09/04/2024 13:41,j-hope,MORE,180022
21,09/04/2024 13:52,j-hope,#NAME?,16591
22,09/04/2024 13:57,Yuuri,ãƒ‰ãƒ©ã‚¤ãƒ•ãƒ©ãƒ¯ãƒ¼,286360
23,09/04/2024 13:59,PRYVT,"I can't go home, anymore",152000
24,09/04/2024 14:03,YOASOBI,ã‚¢ã‚¤ãƒ‰ãƒ«,211733
25,09/04/2024 14:07,HYBS,Would You Mind,202750
26,09/04/2024 14:10,HYBS,Dancing with my phone,203532
27,09/04/2024 14:12,Lee Jun Hyung,Igloo,94126
28,09/04/2024 14:12,jungumul,Blue,11308
29,09/04/2024 14:13,TREASURE,DARARI,60116
30,09/04/2024 14:17,ã€Žãƒ¦ã‚¤ã‚«ã€,å¥½ãã ã‹ã‚‰ã€‚,208979
31,09/04/2024 14:19,JVKE,golden hour - Fujii Kaze Remix,117167
32,09/04/2024 14:20,System Of A Down,Lonely Day,33947
33,10/04/2024 13:35,Rico Blanco,Umuwi Ka Na,19647
34,10/04/2024 13:36,LE SSERAFIM,Sour Grapes,3562
35,10/04/2024 13:39,LE SSERAFIM,Good Parts (when the quality is bad but I am),156354
36,10/04/2024 13:43,wave to earth,bad,263250
37,10/04/2024 14:10,Yuuri,ãƒ‰ãƒ©ã‚¤ãƒ•ãƒ©ãƒ¯ãƒ¼,179463
38,11/04/2024 21:03,Yuuri,ãƒ‰ãƒ©ã‚¤ãƒ•ãƒ©ãƒ¯ãƒ¼,97578
39,11/04/2024 21:05,AKMU,Love Lee,98471
40,11/04/2024 21:06,HYBS,Would You Mind,76010
41,11/04/2024 21:13,JID,Surround Sound (feat. 21 Savage & Baby Tate),146880
42,12/04/2024 07:33,JID,Surround Sound (feat. 21 Savage & Baby Tate),83327
43,12/04/2024 14:09,Jung Kook,3D (Justin Timberlake Remix),160942
44,12/04/2024 14:12,Justin Timberlake,Cry Me a River,99129
45,12/04/2024 14:15,Fujii Kaze,Shinunoga E-Wa,185573
46,12/04/2024 14:18,Uru,ç´™ä¸€é‡,100817
47,12/04/2024 14:19,ATARASHII GAKKO!,OTONABLUE,92885
48,13/04/2024 08:07,System Of A Down,Lonely Day,134204
49,13/04/2024 08:11,System Of A Down,Chop Suey!,210240
50,13/04/2024 08:15,Bon Jovi,Thank You For Loving Me,258705
51,13/04/2024 08:19,Carpenters,You,232840
52,13/04/2024 08:22,DPR IAN,Scaredy Cat,170800
53,13/04/2024 08:23,SHINee,Lucifer - Live,39745
54,13/04/2024 08:25,Shawn Mendes,Fallin' All In You,75360
55,13/04/2024 15:16,Tony Effe,DOPO LE 4 (feat. Bresh & Tedua),179419
56,13/04/2024 15:19,Tony Effe,MIU MIU,61748
57,13/04/2024 15:21,boy pablo,Everytime,40767
58,13/04/2024 15:24,COIN,Loving,174539
59,13/04/2024 15:26,ATARASHII GAKKO!,OTONABLUE,91908
60,13/04/2024 15:29,d4vd,Romantic Homicide,132630
61,13/04/2024 16:24,d4vd,Here With Me,172885
62,13/04/2024 21:10,d4vd,Here With Me,69869
63,13/04/2024 21:15,The 1975,Be My Mistake,2389
64,13/04/2024 21:15,IV Of Spades,Dulo Ng Hangganan,260492
65,13/04/2024 21:15,beabadoobee,Cologne,1109
66,13/04/2024 21:15,Takayoshi,apart of me,1770
67,13/04/2024 21:17,beabadoobee,A Night To Remember,84629
68,13/04/2024 21:19,beabadoobee,Glue Song,135066
69,14/04/2024 11:16,Hotel Ugly,Shut up My Moms Calling,164571
70,14/04/2024 11:18,beabadoobee,Coffee,126824
71,14/04/2024 11:21,Juliet Ivy,we're all eating each other,151142
72,14/04/2024 11:24,boy pablo,Everytime,172941
73,14/04/2024 11:26,boy pablo,wtf,72187
74,14/04/2024 11:29,Keane,Somewhere Only We Know,237146
75,14/04/2024 11:34,Cigarettes After Sex,Apocalypse,290616
76,14/04/2024 14:30,COIN,Crash My Car,57705
77,14/04/2024 17:29,Rico Blanco,Palibot libot,149482
78,14/04/2024 17:32,Dilaw,Janice,235161
79,14/04/2024 17:35,COIN,Crash My Car,130850
80,14/04/2024 17:40,Rico Blanco,You'll Be Safe Here,304000
81,15/04/2024 05:22,Sugarfree,Burnout,106376
82,15/04/2024 06:37,Hale,Blue Sky,263360
83,16/04/2024 07:13,Hale,Blue Sky,3626
84,16/04/2024 07:39,Logic,44 More,178773
85,16/04/2024 08:13,JID,Dance Now (feat. Kenny Mason),87893
86,16/04/2024 08:16,Logic,44 More,188600
87,16/04/2024 12:50,JID,Surround Sound (feat. 21 Savage & Baby Tate),3541
88,16/04/2024 12:50,Al James,Atin-Atin Lang,34880
89,16/04/2024 12:54,Lazza,100 MESSAGGI,244096
90,16/04/2024 12:57,j-hope,MORE,180022
91,16/04/2024 13:03,J. Cole,Love Yourz,211496
92,16/04/2024 13:04,A$AP Ferg,"Dreams, Fairytales, Fantasies (feat. Brent Faiyaz & Salaam Remi)",54801
93,16/04/2024 17:08,JVKE,golden hour - Fujii Kaze Remix,159000
94,16/04/2024 17:12,N.E.R.D,Things Are Getting Better,255573
95,16/04/2024 17:33,PRYVT,"I can't go home, anymore",121953
96,16/04/2024 17:38,Crying City,Urn,332016
97,16/04/2024 17:43,Yuuri,ãƒ‰ãƒ©ã‚¤ãƒ•ãƒ©ãƒ¯ãƒ¼,286360
98,16/04/2024 17:44,The Ethels,Corazon Incessante,39316
99,16/04/2024 17:59,The Ethels,Corazon Incessante,157067
100,16/04/2024 18:01,The Walters,Sweet Marie,1114
101,16/04/2024 18:01,Djo,End of Beginning,1265
102,16/04/2024 18:01,Vansire,Metamodernity,1497
103,16/04/2024 18:01,d4vd,You and I,1219
104,16/04/2024 18:01,PRYVT,mona lisa,4091
105,16/04/2024 18:01,Vansire,From the Subway Train,57370
106,16/04/2024 18:01,The Neighbourhood,You Get Me So High,3006
107,16/04/2024 18:02,Dominic Fike,Babydoll,1056
108,16/04/2024 18:03,Takayoshi,apart of me,76285
109,16/04/2024 18:05,d4vd,Feel It - From â€œInvincibleâ€,157974
110,16/04/2024 18:07,Joji,Feeling Like The End,102480
111,16/04/2024 18:11,HYBS,Prettiest To Me,202250
112,17/04/2024 06:00,TV Girl,Lovers Rock,141678
113,17/04/2024 06:03,HYBS,Prettiest To Me,202250
114,17/04/2024 07:26,Yuuri,ãƒ¬ã‚ª,789
115,17/04/2024 07:26,Yuuri,æ‹äººã˜ã‚ƒãªããªã£ãŸæ—¥,896
116,17/04/2024 07:26,Yuuri,å¤éŸ³,2624
117,17/04/2024 07:33,Yuuri,ãƒ‰ãƒ©ã‚¤ãƒ•ãƒ©ãƒ¯ãƒ¼,286360
118,17/04/2024 07:37,Fujii Kaze,Hana,246699
119,17/04/2024 07:38,RADWIMPS,Dream lantern,46258
120,17/04/2024 07:43,TV Girl,Lovers Rock,213920
