,platform,searchTime,searchQuery,searchInteractionURIs
0,IPHONE,2025-01-11T01:32:10.374Z[UTC],newjeans pod,['spotify:show:7Jwg6yo4jJ0EfxhlDlTQSS']
1,IPHONE,2025-01-11T01:34:09.187Z[UTC],billy ca,[]
2,,2025-01-11T01:34:13.369Z[UTC],bil,[]
3,,2025-01-11T01:34:13.418Z[UTC],bil,[]
4,,2025-01-11T01:34:13.509Z[UTC],b,[]
5,,2025-01-11T01:34:13.569Z[UTC],b,[]
6,,2025-01-11T01:34:13.623Z[UTC],bi,[]
7,,2025-01-11T01:34:13.673Z[UTC],bi,[]
8,IPHONE,2025-01-11T01:34:20.247Z[UTC],rdcw,['spotify:artist:0gHqZY8vQFGUuglZ5TO1Cd']
9,IPHONE,2025-01-11T01:34:38.046Z[UTC],billy car,['spotify:search:billy+carson']
10,,2025-01-13T14:55:16.912Z[UTC],bourn,[]
11,,2025-01-13T14:55:17.278Z[UTC],bourne i,[]
12,OSX_X86_64,2025-01-13T14:55:17.380Z[UTC],bourn,[]
13,,2025-01-13T14:55:17.575Z[UTC],bourne i,[]
14,OSX_X86_64,2025-01-13T14:55:18.152Z[UTC],bourne id,[]
15,,2025-01-13T14:55:18.194Z[UTC],bourne id,[]
16,OSX_X86_64,2025-01-13T14:55:19.059Z[UTC],bourne iden,[]
17,,2025-01-13T14:55:19.087Z[UTC],bourne iden,[]
18,,2025-01-13T14:55:19.710Z[UTC],bourne ideni,[]
19,,2025-01-13T14:55:20.023Z[UTC],bourne ideni,[]
20,,2025-01-13T14:59:26.126Z[UTC],bou,[]
21,,2025-01-13T14:59:26.323Z[UTC],bou,[]
22,,2025-01-13T14:59:26.650Z[UTC],bournn,[]
23,,2025-01-13T14:59:26.920Z[UTC],bournn,[]
24,,2025-01-13T14:59:27.630Z[UTC],bournne ,[]
25,,2025-01-13T14:59:27.898Z[UTC],bournne ,[]
26,,2025-01-13T14:59:28.425Z[UTC],bournne i,[]
27,,2025-01-13T14:59:28.697Z[UTC],bournne i,[]
28,,2025-01-13T14:59:29.100Z[UTC],bournne ide,[]
29,,2025-01-13T14:59:29.419Z[UTC],bournne ide,[]
30,,2025-01-13T14:59:32.117Z[UTC],bournne id,[]
31,,2025-01-13T14:59:32.384Z[UTC],bournne id,[]
32,,2025-01-13T14:59:38.053Z[UTC],bourne ide,[]
33,,2025-01-13T14:59:38.218Z[UTC],bourne ide,[]
34,,2025-01-13T14:59:42.462Z[UTC],bourne identity,[]
35,,2025-01-13T14:59:42.793Z[UTC],bourne identity,[]
36,,2025-01-13T14:59:43.690Z[UTC],bourne identity ,[]
37,,2025-01-13T14:59:44.049Z[UTC],bourne identity ,[]
38,,2025-01-13T14:59:44.186Z[UTC],bourne identity mo,[]
39,,2025-01-13T14:59:44.540Z[UTC],bourne identity mo,[]
40,,2025-01-13T14:59:45.539Z[UTC],bourne identity moby,[]
41,,2025-01-13T14:59:45.764Z[UTC],bourne identity moby,[]
42,IPHONE,2025-01-15T19:09:01.087Z[UTC],low lenny,['spotify:track:3X8fyvADS1u3ix2ewIpEoo']
43,IPHONE,2025-01-18T08:33:41.210Z[UTC],it's you,['spotify:track:61OtYav1fiUCr73JwZD2Sb']
44,IPHONE,2025-01-18T08:41:26.605Z[UTC],daniel someyhi,['spotify:track:1OC4YsxfH2mFeq0NImMArT']
45,,2025-01-19T09:21:01.740Z[UTC],henry,[]
46,,2025-01-19T09:21:01.985Z[UTC],henry,[]
47,,2025-01-19T09:21:02.529Z[UTC],henry ,[]
48,,2025-01-19T09:21:02.722Z[UTC],henry ,[]
49,,2025-01-19T09:21:03.734Z[UTC],henry it,[]
50,,2025-01-19T09:21:03.936Z[UTC],henry it,[]
51,,2025-01-19T09:21:04.594Z[UTC],henry it's,[]
52,,2025-01-19T09:21:04.886Z[UTC],henry it's,[]
53,OSX_X86_64,2025-01-19T10:32:52.311Z[UTC],ty,[]
54,,2025-01-19T10:32:52.344Z[UTC],ty,[]
55,,2025-01-19T10:32:52.552Z[UTC],tyl,[]
56,,2025-01-19T10:32:52.716Z[UTC],tyl,[]
57,,2025-01-19T10:32:54.162Z[UTC],tyler ,[]
58,,2025-01-19T10:32:54.325Z[UTC],tyler ,[]
59,,2025-01-19T10:36:33.056Z[UTC],ju,[]
60,,2025-01-19T10:36:33.245Z[UTC],ju,[]
61,,2025-01-19T10:36:34.001Z[UTC],justinn ,[]
62,,2025-01-19T10:36:34.232Z[UTC],justinn ,[]
63,,2025-01-19T10:38:24.138Z[UTC],r,[]
64,,2025-01-19T10:38:24.400Z[UTC],r,[]
65,,2025-01-19T10:38:24.597Z[UTC],ro,[]
66,,2025-01-19T10:38:24.849Z[UTC],ro,[]
67,,2025-01-19T10:38:25.118Z[UTC],ros,[]
68,OSX_X86_64,2025-01-19T10:38:25.440Z[UTC],ros,[]
69,,2025-01-19T10:38:26.498Z[UTC],rosi,[]
70,,2025-01-19T10:38:26.685Z[UTC],rosi,[]
71,,2025-01-19T12:14:36.493Z[UTC],sub,[]
72,,2025-01-19T12:14:36.736Z[UTC],sub,[]
73,,2025-01-19T12:14:37.221Z[UTC],su,[]
74,,2025-01-19T12:14:37.357Z[UTC],s,[]
75,OSX_X86_64,2025-01-19T12:14:37.555Z[UTC],su,[]
76,,2025-01-19T12:14:37.557Z[UTC],s,[]
77,,2025-01-19T12:14:37.656Z[UTC],subo,[]
78,,2025-01-19T12:14:37.839Z[UTC],subo,[]
79,,2025-01-19T12:14:41.294Z[UTC],subomoto,[]
80,,2025-01-19T12:14:41.300Z[UTC],subomo,[]
81,,2025-01-19T12:14:41.302Z[UTC],subom,[]
82,,2025-01-19T12:14:41.458Z[UTC],subomoto,[]
83,,2025-01-19T12:14:41.485Z[UTC],subomo,[]
84,,2025-01-19T12:14:41.527Z[UTC],subom,[]
85,,2025-01-19T12:50:00.502Z[UTC],o,[]
86,,2025-01-19T12:50:00.806Z[UTC],o,[]
87,OSX_X86_64,2025-01-19T12:50:00.930Z[UTC],ob,[]
88,,2025-01-19T12:50:00.961Z[UTC],ob,[]
89,,2025-01-19T12:50:01.096Z[UTC],obi,[]
90,,2025-01-19T12:50:01.289Z[UTC],obi,[]
91,OSX_X86_64,2025-01-19T12:50:03.360Z[UTC],obiti,[]
92,,2025-01-19T12:50:03.393Z[UTC],obiti,[]
93,,2025-01-19T12:50:07.148Z[UTC],obit,[]
94,,2025-01-19T12:50:07.355Z[UTC],obit,[]
95,OSX_X86_64,2025-01-19T12:50:07.997Z[UTC],obito,[]
96,,2025-01-19T12:50:08.033Z[UTC],obito,[]
97,,2025-01-19T15:58:13.483Z[UTC],anna,[]
98,OSX_X86_64,2025-01-19T15:58:13.857Z[UTC],anna,[]
99,,2025-01-19T15:58:14.030Z[UTC],anna ,[]
100,,2025-01-19T15:58:14.227Z[UTC],anna ,[]
101,,2025-01-19T15:58:16.546Z[UTC],anna tatang,[]
102,,2025-01-19T15:58:16.764Z[UTC],anna tatang,[]
103,,2025-01-19T15:58:17.318Z[UTC],anna tatangel,[]
104,,2025-01-19T15:58:17.543Z[UTC],anna tatangel,[]
105,,2025-01-19T15:58:18.440Z[UTC],anna tatangelo,[]
106,,2025-01-19T15:58:18.646Z[UTC],anna tatangelo,[]
107,,2025-01-19T16:02:32.406Z[UTC],e,[]
108,,2025-01-19T16:02:32.589Z[UTC],e,[]
109,,2025-01-19T16:02:34.057Z[UTC],enrique,[]
110,,2025-01-19T16:02:34.283Z[UTC],enrique,[]
111,,2025-01-19T16:02:34.964Z[UTC],enrique igle,[]
112,,2025-01-19T16:02:35.189Z[UTC],enrique igle,[]
113,,2025-01-19T16:02:36.025Z[UTC],enrique iglesisa,[]
114,,2025-01-19T16:02:36.360Z[UTC],enrique iglesisa,[]
115,,2025-01-19T16:02:36.861Z[UTC],enrique iglesias,[]
116,,2025-01-19T16:02:37.126Z[UTC],enrique iglesias,[]
117,,2025-01-19T17:07:30.130Z[UTC],j,[]
118,,2025-01-19T17:07:30.401Z[UTC],j,[]
119,,2025-01-19T17:07:30.743Z[UTC],jannn,[]
120,,2025-01-19T17:07:30.931Z[UTC],jannn,[]
121,,2025-01-19T17:07:31.077Z[UTC],jannno,[]
122,,2025-01-19T17:07:31.331Z[UTC],jannno,[]
123,,2025-01-19T17:07:32.117Z[UTC],jann,[]
124,,2025-01-19T17:07:32.311Z[UTC],jann,[]
125,,2025-01-19T17:07:32.967Z[UTC],janno ,[]
126,,2025-01-19T17:07:33.131Z[UTC],janno ,[]
127,,2025-01-19T17:07:34.218Z[UTC],janno gibbs,[]
128,,2025-01-19T17:07:34.427Z[UTC],janno gibbs,[]
129,,2025-01-19T17:07:36.669Z[UTC],gar,[]
130,,2025-01-19T17:07:36.855Z[UTC],gar,[]
131,OSX_X86_64,2025-01-19T17:07:37.517Z[UTC],gary,[]
132,,2025-01-19T17:07:37.553Z[UTC],gary,[]
133,,2025-01-19T17:07:38.039Z[UTC],gary v,[]
134,,2025-01-19T17:07:38.264Z[UTC],gary v,[]
135,,2025-01-20T00:18:55.076Z[UTC],con,[]
136,,2025-01-20T00:18:55.133Z[UTC],con,[]
137,IPHONE,2025-01-20T00:19:04.077Z[UTC],connor grtvfs,[]
138,,2025-01-22T15:43:26.339Z[UTC],o,[]
139,,2025-01-22T15:43:26.500Z[UTC],oz,[]
140,,2025-01-22T15:43:26.589Z[UTC],o,[]
141,,2025-01-22T15:43:26.726Z[UTC],oz,[]
142,,2025-01-22T15:44:20.871Z[UTC],henry iut,[]
143,,2025-01-22T15:44:21.126Z[UTC],henry iut,[]
144,,2025-01-22T15:44:21.646Z[UTC],henry its,[]
145,,2025-01-22T15:44:21.921Z[UTC],henry its,[]
146,,2025-01-22T15:49:45.670Z[UTC],gree,[]
147,,2025-01-22T15:49:45.948Z[UTC],gree,[]
148,,2025-01-22T15:49:46.269Z[UTC],green,[]
149,,2025-01-22T15:49:46.489Z[UTC],green,[]
150,,2025-01-22T15:49:46.930Z[UTC],greenda,[]
151,,2025-01-22T15:49:47.171Z[UTC],greenda,[]
152,,2025-01-22T15:49:47.390Z[UTC],greenday,[]
153,,2025-01-22T15:49:47.621Z[UTC],greenday,[]
154,IPHONE,2025-01-24T08:04:21.998Z[UTC],wadada,['spotify:track:0AuZUiq6K6E9l2GOWTuy5c']
155,IPHONE,2025-01-24T08:08:47.797Z[UTC],suno,[]
156,IPHONE,2025-01-24T08:08:49.158Z[UTC],subomo,['spotify:search:subomoto+hev+abi+remix']
157,IPHONE,2025-01-24T08:08:50.947Z[UTC],subomoto hev abi remix,"['spotify:track:21Dq4ZfwEg1nfkwyxrx0ve', 'spotify:album:7wjI6FCsMJwMCumTlNu0xl']"
