artist,album,track,url
Roxette,Don't Bore Us - Get to the Chorus! Roxette's Greatest Hits,"It Must Have Been Love - From the Film ""Pretty Woman""",spotify:track:6qB7YcFpeBEQa0D6QO482y
The Maine,American Candy,English Girls,spotify:track:1MxTaEaaaEhtVOXF0BuA48
Arctic Monkeys,AM,Why'd You Only Call Me When You're High?,spotify:track:086myS9r57YsLbJpU0TgK9
The Lonely Island,Popstar: Never Stop Never Stopping,Legalize It,spotify:track:3N0SzxaZIzbfkIOsjC6kvd
Brenda Lee,The Definitive Collection,Emotions - Single Version,spotify:track:2JFAI6Atws6E02zgV0cqOP
Aitch,Straight Rhymez,Straight Rhymez,spotify:track:0MBVjQJWviptcwTaXW2L3r
Ernia,Gemelli,Ferma A Guardare (feat. Pinguini Tattici Nucleari),spotify:track:1eDC4NiUYgQSKpKDIvXxi4
Julio Iglesias,Un Hombre Solo,Lo Mejor De Tu Vida,spotify:track:3La01jjk5XfvpdyOCMlV1A
Tom Odell,Real Love,Real Love - From the John Lewis Christmas Advert 2014,spotify:track:1Udy17gjGeZPNdmmcLjl7L
Dave,Funky Friday,Funky Friday,spotify:track:01IQ4aQgOf0Kkq3a273hmO
Zedd,True Colors,Transmission,spotify:track:4hnghRCUC1oKyPBuWqRjlf
Yot Club,Bipolar,YKWIM?,spotify:track:2vWBUC9djv6BtiGlmKiQaH
JM De Guzman,214,"214 - From ""Alone/Together""",spotify:track:0Fh6hgq979963fIxr2VBF2
Hitsujibungaku,more than words,more than words,spotify:track:2ZT6eELxeETGamaiXu6vmk
Imago,Hopia Mani Popcorn Vol. 2,Bakit Ba Ganyan,spotify:track:5xM7One8KyHsqoerQMoPb5
The Script,No Sound Without Silence,"Never Seen Anything ""Quite Like You""",spotify:track:71qNRlNDnPahvATE7Zl4Nw
Vast,April,One More Day,spotify:track:6HGOffbCJbvV1GxjDK3FKf
John Legend,Love In The Future (Expanded Edition),Angel (Interlude) (feat. Stacy Barthe),spotify:track:7tJRs2UPalK0XWwkQ4e73I
Scarlet Pleasure,Mirage,Windy,spotify:track:6xraWJ8FdIJ8c8HpwXhNgs
BLACKPINK,Pink Venom,Pink Venom,spotify:track:0skYUMpS0AcbpjcGsAbRGj
Boy In Space,Drown,Drown,spotify:track:1gqo6zPxu0dEjLv7WLYN8I
Billie Eilish,you should see me in a crown,you should see me in a crown,spotify:track:6vsV4D8BM6PioRr1UOx0n2
Oasis,Be Here Now (Deluxe Remastered Edition),All Around The World - Remastered,spotify:track:6ZYgoD3c2aE4dD3yVFWV51
Dominic Fike,"Don't Forget About Me, Demos",Socks,spotify:track:05fTCmfInpZXpb5Xn1GKGs
Fitz and The Tantrums,All the Feels,All the Feels,spotify:track:3scYtw10wODPatwKBGTwB6
The Killers,Battle Born,The Way It Was,spotify:track:0fDCmSbcX0EJ7XXP0D54PC
Ace Banzuelo,Himala,Himala,spotify:track:3v8EvCxPcfwlStnCKtlzfi
Thegiornalisti,LOVE,Milano Roma,spotify:track:1ljdbMFCdyiDituKlfJcFb
Higher Brothers,Black Cab,Made In China,spotify:track:484SLUDMf2BmrUwtQWkvUa
Frank Ocean,Blonde,White Ferrari,spotify:track:2LMkwUfqC6S6s6qDVlEuzV
Modà,Modà 2004 - 2014 L'Originale,Tappeto Di Fragole,spotify:track:3r0lVlrDjLumSVIVNRGg47
Barnes Blvd.,Chillhop Daydreams,Perspective,spotify:track:1yrZp8B0mLT18RuZccaDBJ
RM,mono.,tokyo,spotify:track:4dF0mDPTlpjThf1mJyK83B
Pharrell Williams,In My Mind,Number One - Album Version (Edited),spotify:track:7MidCHPmNsAbLIe79QSSke
*NSYNC,Celebrity,Falling,spotify:track:16g5FvoBTrRdREqFcbdoYT
Enrique Iglesias,Insomniac,Somebody's Me,spotify:track:6S18su3fmCpLzBsJCQWovx
Bastille,Quarter Past Midnight,Quarter Past Midnight,spotify:track:1etiUDkISHELzQGMY79ryt
Paul McCartney,All The Best,My Love,spotify:track:3oevkC3HQ2sxTwJ394MROY
Robbie Williams,Escapology,Feel,spotify:track:2Ms33RTRCT6gArrpcrPxmo
Thegiornalisti,LOVE,New York,spotify:track:1nhEQjgj0NrtAoDuFEhMEL
Why Don't We,8 Letters,8 Letters,spotify:track:4zRZAmBQP8vhNPf9i9opXt
Linkin Park,LIVING THINGS,IN MY REMAINS,spotify:track:00KfIFi2TpAaQGPbRbFbKJ
Glass Animals,Dreamland,Heat Waves,spotify:track:02MWAaffLxlfxAUY7c5dvx
Simple Minds,Celebrate,Don't You (Forget About Me) - Remastered,spotify:track:0A4PZuepTcIQVvA5m7R0M1
Guns N' Roses,Use Your Illusion I,Don't Cry (Original),spotify:track:2N2yrmodOnVF10mKvItC9P
New Kids On The Block,NKOTBSB,Please Don't Go Girl - Single Version,spotify:track:4yZpTx27mKelvCsqUzWYDw
Headie One,EDNA,Ain't It Different (feat. AJ Tracey & Stormzy),spotify:track:03snIuKJr5u7zpyp9zpQMU
OWEL,Dear Me,Annabel,spotify:track:60EowxJyYFa5EMstXIcREO
Muse,Black Holes and Revelations,Starlight,spotify:track:3skn2lauGk7Dx6bVIt5DVj
Adie,Sawa Na,Sawa Na,spotify:track:1ZpXSfkQVQTwB6MbWpzsZW
Haux,Eight,Eight,spotify:track:5T20empZEdKnAdIq26xtTA
Oasis,Definitely Maybe,Slide Away,spotify:track:1CZpWzCvN6fl2WslWTyPn2
Kinokoteikoku,???????,?????,spotify:track:27udJcfu06TvbbOpgfxIlw
BTS,Love Yourself ? 'Answer',MIC Drop (Steve Aoki Remix) [Full Length Edition],spotify:track:75scDPqGs75FotglJSoOI2
OneRepublic,Waking Up,Secrets,spotify:track:1NhPKVLsHhFUHIOZ32QnS2
Yuuri,?,???????,spotify:track:4kPlQKwtPrnqLgrmmKFSlA
Sponge Cola,Palabas & Transit Collection,Klsp,spotify:track:7CGJHhn4CmqNSNQJrSlbLm
Stephen Sanchez,Angel Face,Be More,spotify:track:306H2K5MwE0Z6jJj0jEuar
The 1975,TOOTIMETOOTIMETOOTIME,TOOTIMETOOTIMETOOTIME,spotify:track:6wvlEKW2qxucJSBXYpMV2P
Ebe Dancel,Bawat Daan,Dapit-Hapon,spotify:track:2FdFtKCpMUVSyjfrisntqS
Sub Urban,Thrill Seeker,Freak (feat. REI AMI),spotify:track:5jkbw3FDS3bSSb4oLKYbjf
Migos,Culture II,Stir Fry,spotify:track:2UVbBKQOdFAekPTRsnkzcf
Dishwalla,Opaline,Nashville Skyline,spotify:track:6q87mBc8JB36H4DKjMPnBx
Jake Wesley Rogers,Only You,Only You,spotify:track:5w2CMzor2d578JophXar5e
Sub Urban,Thrill Seeker,KMS,spotify:track:0CmR4NDzyLtAFWs14bTp10
The Brobecks,Violent Things,Love At First Sight,spotify:track:4meLiXR44Kg4MdXoVSO58C
UMI,Interlude,This Universe,spotify:track:2BCBJzP7PQ3QlI1lrPdOVX
Sleeping At Last,Many Beautiful Things (Original Motion Picture Soundtrack),Divine Creation,spotify:track:1CUlCiEdfcfB6ngTbBFUsP
Emotional Oranges,Personal,Personal,spotify:track:3ET6tneQU6pszP9VylP27r
Maroon 5,Red Pill Blues,Don't Wanna Know (feat. Kendrick Lamar),spotify:track:5o3GnrcFtvkdf3zFznuSbA
The Maine,Less Noise: A Collection of Songs by a Band Called the Maine,Blood Red (Acoustic),spotify:track:4Y2KGJFqRdoifBLXYhG141
We Are Enfant Terrible,"La Vie Est Belle, Mes Enfants",Ce Que Tu Veux De Moi,spotify:track:7vYLRBSaQbuUv0I8ESL82I
The Beatles,Past Masters,This Boy - Remastered 2009,spotify:track:0oQshbv1BFLZ61b1tQ4Eqg
Terno Rei,Violeta,Dia Lindo,spotify:track:0zG0LzLbVueZll4drMFPgz
OneRepublic,Dreaming Out Loud,Say (All I Need),spotify:track:5BzZhlqDnYYDr17sciEOjj
Aerosmith,Toys In The Attic,Walk This Way,spotify:track:4JfuiOWlWCkjP6OKurHjSn
